rate,text
4,"Thank you ever so much, Turbo Tax for making taxes a walk in the park. I was able to read the Sunday comics with one eye while filling out my taxes with the other. I am so looking forward to spending my state refund. I was a little disappointed that my federal return fell a little short. But I will learn frm my mistakes and bring my A-game for the 2015 competition."
4,"I have been using Cook'n since version 7. It is an easy program to learn and use with lots of options. I live in Australia so the measures are metric rather than imperial. Last year I lost a good deal of data (includinging my personal recipe files) from a failed computer. This SHOULD have taught me a lesson.<br /><br />When I upgraded to Version 10, I had difficulties restoring my databases. This is not the fault of Cook'n, rather my own lack of diligence with backing up data appropriately. I have to start from scratch AGAIN with my Cook'n. Some recipes are lost forever I feel but maybe I have learnt with time to make appropriate backups.<br /><br />Getting back to the program, it can be as simple or as complicated as you like. I do not use menus or indeed shopping lists most of the time but I still come back to Cook'n for its ease of use and flexibility.<br /><br />The only beef I have with Cook'n is the printing side of things. As I am in Australia, paper sizes are not the same as the US but with a little tweaking, I can get around that. More printing options would be nice but that's on the wishlist.<br /><br />I must say that DVO's customer service is great. I lost my purchased cookbooks but the DVO team were able to resend me what ones they could considering that I purchased them over 4 years ago. What book they couldn't send me, they offered a free download of any book I liked. All this done in a matter of 2 short days and only a couple of emails. Thanks Ryan, you are a legend and a lifesaver."
2,"I ordered backup by StompSoft, because I had one at home. You sent backup by Migo. I notified you. You sent me another shipment of the same thing, backup by Migo. And told me I would be charged for the second shipment, too, if I didn't return the one by some deadline. I am still evaluating the one to see if it will do, or just not do. I get limited access time at the customers site and backups take a long time and have to run off hours. Backups I get but auto scheduling is not yet working. Rich"
5,I recently updated my internet security and the Norton 2010 package was very easy to install on my 3 home based PC's. Its worth the peace of mind protection and comes as one of if not THE highest rated products of its kind.
2,"I have used five generations of Adobe Premiere, all the way back to version 1.5. While it is still a good editor with some strong features, the latest version, PE 10 flagrantly misrepresents its capability. It states on the box \\""Burn Blu-ray quality HD movies using standard DVD discs and burners.\\"" This statement is under the heading \\""Share videos...with friends wherever they are\\"". The problem is that your friends will have to buy a new \\""1080 HD DVD Player\\"" in order to take advantage of this feature. Adobe does not specify that their new feature requires new hardware and therefore it is misleading and caused me to waste a good deal of time trying to find an explanation on their website. Not to mention that the claim that it works with any HD video camera is simply not true. It worked with my older camcorders, but not my new Sony.<br />On the other hand, the software does a fine job of basic editing and is particularly good at rendering discs because it has good control over the menu text and icon placement and has an excellent DVD preview screen so you don't have to burn DVDs to know if your menus launch the scenes correctly. Rendering to all formats is impressively fast and the Win 7 64 bit implementation is robust and only crashes occasionally.<br />More problems with PE are caused by Adobe's strategy to attempt to persuade users to use this product as the nexus of all their stored video and still media. Anybody who is serious about video editing will have a host of programs including viewers, converters and other editors. PE's cumbersome attempt to grab all the media files results in screens popping up unexpectedly that take you out of the core editing experience. This was never the case in the older products. Bad product direction for serious video editors. Also bothersome are their frequent attempts to pull users into using the related suite of Photoshop products, no doubt because they are losing market share to Picasa and other free photo editing programs.<br />This product is now no better than the Cyberlink competitor and the only reason I remain an Adobe user is that I am familiar with their menus."
5,Can't imagine doing taxes without it. Have been using TaxCut for years and ordered the same version on autopilot. Doh. Moved to FL last year. Not much use for the state vesrions in FL! Oh Well.
1,"QuickBooks Pro 2006 for Mac is a dreadful option. Simply: it is complicated to use because it requires an entirely different software product for payroll (Aatrix), and it requires lots of customer support since neither the software or informational booklet are not terribly user-friendly. When calling QuickBooks customer support, you're calling India phonebanks and holding on the phone for 1.5 hrs or more until a live voice is heard. Aatrix customer support, while informative and patient, requires the same long wait times. Both lines feature \\""hold\\"" music that is guaranteed to give you a bad hair day and re-cycles frequently. Recommendation for a much better accounting product: MYOB <br /> <br />Bernie Krause, PhD"
4,"Numbers is the weakest point of the iWork suite. As far as I can tell, there is no text-to-columns function. I tend to drop down to perl or perl + SQL for heavy math, so other missing functions don't bother me. The lack of text-to-columns makes importing data from a SQL query or the command line harder than it needs to be.<br /><br />Still, iWork is a great value. I'm glad I bought it, and recommend it to anyone with a mac."
5,I would recommend this to everyone that wants to learn how to type or increase their speed in typing. I just love it.
4,"I have been using the Microsoft Office products since their introduction many years ago. This upgrade (2007) looks and feels somewhat different than past versions, but once you get used to it...it is fine...even better than before because a lot of the commonly used functionality is right up front, not buried in sub-menus. The help function is much more user friendly as well. Great Product!"
